host_id,neighbourhood_group,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365
949221,Brooklyn,40.65513,-73.95641,Private room,43,1,401,2,43
949221,Brooklyn,40.65589,-73.95539,Private room,42,1,72,2,96
611716,Brooklyn,40.67617,-73.98136,Private room,105,1,211,2,252
964482,Manhattan,40.83127,-73.94718,Private room,68,2,295,2,188
971075,Manhattan,40.82922,-73.94174,Private room,75,3,50,2,38
918087,Brooklyn,40.68812,-73.94934,Private room,67,4,72,3,0
51038,Brooklyn,40.68634,-73.96161,Entire home/apt,248,2,58,6,199
464506,Manhattan,40.713,-73.99752,Private room,95,3,172,2,64
12221,Bronx,40.82802,-73.92039,Private room,50,3,258,2,276
1018472,Brooklyn,40.58422,-73.94079,Entire home/apt,70,4,128,2,90
1029021,Brooklyn,40.69025,-73.93323,Entire home/apt,145,3,30,3,11
306739,Brooklyn,40.73049,-73.96115,Entire home/apt,185,3,228,3,1
1112560,Brooklyn,40.68741,-73.95741,Private room,79,3,152,3,192
864735,Queens,40.75627,-73.9211,Entire home/apt,95,30,24,8,358
1114587,Manhattan,40.79816,-73.9619,Entire home/apt,300,2,45,3,31
759583,Brooklyn,40.68275,-73.96148,Entire home/apt,172,4,8,2,189
1138692,Manhattan,40.71813,-73.98416,Entire home/apt,199,1,29,2,162
1138692,Manhattan,40.71892,-73.98401,Entire home/apt,199,1,14,2,158
918087,Brooklyn,40.68634,-73.95088,Private room,75,3,59,3,0
4887492,Manhattan,40.71193,-74.00817,Private room,150,3,82,2,90
22486,Brooklyn,40.68012,-73.97847,Private room,120,2,23,6,342
1165231,Manhattan,40.80486,-73.95298,Private room,69,1,59,2,86
1165231,Manhattan,40.80307,-73.95048,Private room,300,55,6,2,83
1112560,Brooklyn,40.68749,-73.95494,Private room,79,3,115,3,264
663879,Brooklyn,40.68645,-73.97538,Private room,130,3,154,2,305
1177497,Brooklyn,40.68999,-73.96711,Private room,239,1,164,11,356
815977,Brooklyn,40.71126,-73.94576,Entire home/apt,220,3,116,2,135
209460,Brooklyn,40.67855,-73.94949,Entire home/apt,80,3,234,4,308
1097545,Manhattan,40.72645,-73.98035,Private room,89,1,278,3,192
12221,Bronx,40.83001,-73.92158,Private room,50,5,235,2,271
292204,Manhattan,40.79239,-73.94535,Entire home/apt,135,28,115,2,341
1229984,Queens,40.74581,-73.95295,Private room,75,30,65,3,219
83257,Manhattan,40.74,-74.00381,Private room,130,30,80,2,332
1240820,Brooklyn,40.71746,-73.95497,Entire home/apt,180,2,125,3,248
1146958,Manhattan,40.73833,-73.98186,Entire home/apt,195,30,139,4,325
1177497,Brooklyn,40.68975,-73.96703,Private room,438,1,43,11,363
1177497,Brooklyn,40.6893,-73.96602,Private room,279,1,120,11,362
1260921,Bronx,40.8679,-73.90023,Private room,42,2,108,2,302
3647,Queens,40.7347,-73.88066,Entire home/apt,79,4,60,2,297
417504,Brooklyn,40.73787,-73.95385,Entire home/apt,199,3,34,28,60
605463,Manhattan,40.73066,-74.00287,Entire home/apt,700,3,131,4,296
758441,Brooklyn,40.68707,-73.91918,Private room,100,1,7,4,281
1313306,Manhattan,40.81068,-73.94288,Private room,125,1,11,2,365
1313306,Manhattan,40.81122,-73.94279,Entire home/apt,400,5,0,2,365
297769,Manhattan,40.7146,-73.991,Private room,115,4,151,2,323
1325961,Manhattan,40.79493,-73.94462,Entire home/apt,200,3,49,2,0
417504,Brooklyn,40.73693,-73.95284,Entire home/apt,199,3,33,28,60
417504,Brooklyn,40.73641,-73.9533,Entire home/apt,199,3,24,28,84
417504,Brooklyn,40.73794,-73.95254,Entire home/apt,199,3,59,28,60
417504,Brooklyn,40.7373,-73.95323,Entire home/apt,199,3,24,28,60
417504,Brooklyn,40.73708,-73.95271,Entire home/apt,199,3,23,28,60
417504,Brooklyn,40.73652,-73.95236,Entire home/apt,199,3,43,28,60
417504,Brooklyn,40.73693,-73.95316,Entire home/apt,199,3,30,28,56
417504,Brooklyn,40.73784,-73.95324,Entire home/apt,199,3,39,28,84
417504,Brooklyn,40.73674,-73.95247,Private room,349,3,8,28,58
417504,Brooklyn,40.73783,-73.95259,Private room,249,3,3,28,60
417504,Brooklyn,40.73714,-73.95296,Private room,299,3,6,28,60
417504,Brooklyn,40.73731,-73.9545,Private room,179,3,4,28,81
1267021,Queens,40.74965,-73.89344,Private room,54,5,56,3,365
417504,Brooklyn,40.73793,-73.95316,Private room,599,3,7,28,60
